,Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Sakakah,0,SA,1589317465,11,29.97,40.21,78.8,5.82
1,Mil'kovo,0,RU,1589317466,67,54.72,158.62,41.25,1.68
2,Puri,20,IN,1589317466,94,19.8,85.85,80.6,14.05
3,Fayaoué,12,NC,1589317466,59,-20.65,166.53,73.04,8.46
4,Phang Nga,75,TH,1589317466,94,8.45,98.53,78.8,6.93
5,Busselton,49,AU,1589317466,61,-33.65,115.33,54.0,7.49
6,Mataura,69,NZ,1589317467,88,-46.19,168.86,39.56,1.9
7,Kiryat Gat,0,IL,1589317467,63,31.61,34.76,72.0,8.08
8,Hermanus,24,ZA,1589317467,94,-34.42,19.23,52.0,9.95
9,Jamestown,40,US,1589317468,42,42.1,-79.24,48.0,25.28
10,Govlyar,20,AZ,1589317468,55,40.95,45.73,60.8,4.7
11,Rikitea,0,PF,1589317468,66,-23.12,-134.97,74.25,2.59
12,Ixtapa,5,MX,1589317179,70,20.7,-105.2,84.2,12.75
13,Jiazi,65,CN,1589317469,88,22.88,116.07,74.97,13.65
14,Ushuaia,40,AR,1589317201,80,-54.8,-68.3,41.0,33.33
15,Abu Kamal,0,SY,1589317469,27,34.45,40.92,77.54,2.3
16,Saint George,1,US,1589317202,12,37.1,-113.58,84.0,24.16
17,Ust-Kuyga,67,RU,1589317470,96,70.02,135.6,28.67,1.03
18,Vitim,100,RU,1589317470,91,59.45,112.56,32.27,4.14
19,Nuuk,75,GL,1589317325,87,64.18,-51.72,42.8,3.36
20,Kassala,10,SD,1589317470,45,15.45,36.4,84.76,10.45
21,Kavieng,100,PG,1589317471,85,-2.57,150.8,81.01,16.8
22,Clyde River,75,CA,1589317471,92,70.47,-68.59,19.4,17.22
23,Port Alfred,100,ZA,1589317471,87,-33.59,26.89,64.0,5.99
24,Sur,0,OM,1589317379,65,22.57,59.53,87.08,12.97
25,Iskateley,88,RU,1589317472,95,67.68,53.15,34.2,13.2
26,Alofi,20,NU,1589317472,83,-19.06,-169.92,80.6,5.82
27,Narsaq,75,GL,1589317472,30,60.92,-46.05,53.6,23.04
28,Palu,100,ID,1589317472,79,-0.89,119.87,76.57,3.31
29,Lata,23,PT,1589317472,90,40.16,-8.33,61.0,1.72
30,Jalu,0,LY,1589317473,12,29.03,21.55,83.77,8.77
31,Ahipara,94,NZ,1589317217,75,-35.17,173.17,61.0,15.3
32,Rio Brilhante,26,BR,1589317473,85,-21.8,-54.55,74.79,5.55
33,Rājpīpla,0,IN,1589317473,67,21.87,73.5,79.83,6.11
34,Atuona,33,PF,1589317474,73,-9.8,-139.03,79.92,17.81
35,Meulaboh,98,ID,1589317474,87,4.14,96.13,79.11,4.23
36,Dunedin,100,NZ,1589317306,82,-45.87,170.5,52.0,4.34
37,Klaksvík,100,FO,1589317475,64,62.23,-6.59,33.8,12.75
38,Tepusteca,20,HN,1589317475,55,15.42,-86.32,89.6,11.41
39,Carnarvon,0,AU,1589317475,41,-24.87,113.63,70.0,10.02
40,Srednekolymsk,0,RU,1589317475,72,67.45,153.68,39.94,5.37
41,Arraial do Cabo,14,BR,1589317475,73,-22.97,-42.03,75.2,12.75
42,Cape Town,20,ZA,1589317476,77,-33.93,18.42,60.01,9.17
43,Bredasdorp,52,ZA,1589317476,82,-34.53,20.04,59.0,25.28
44,‘Ewa Beach,20,US,1589317476,51,21.32,-158.01,82.4,10.29
45,Port Lincoln,12,AU,1589317476,68,-34.73,135.87,54.09,9.82
46,Anadyr,75,RU,1589317476,100,64.75,177.48,33.8,8.95
47,Gainesville,1,US,1589317206,32,29.65,-82.32,86.0,4.7
48,Constitución,0,CL,1589317343,56,-35.33,-72.42,58.91,15.01
49,Kaitangata,100,NZ,1589317477,82,-46.28,169.85,50.0,3.15
50,Touros,20,BR,1589317477,78,-5.2,-35.46,82.4,9.17
51,Saskylakh,97,RU,1589317478,97,71.92,114.08,24.1,14.32
52,Alugan,100,PH,1589317478,85,12.22,125.48,80.02,5.35
53,Punta Arenas,75,CL,1589317478,72,-53.15,-70.92,42.8,12.75
54,Oyama,90,JP,1589317478,93,36.3,139.8,71.01,1.12
55,Airai,78,TL,1589317478,94,-8.93,125.41,56.57,3.49
56,Naze,30,JP,1589317479,88,28.37,129.48,69.8,9.17
57,Portland,90,US,1589316758,59,45.52,-122.68,62.6,16.11
58,Sitka,1,US,1589317479,76,57.05,-135.33,55.4,6.93
59,Mossamedes,11,AO,1589317479,49,-15.2,12.15,78.46,8.46
60,New Norfolk,15,AU,1589317480,76,-42.78,147.06,46.99,4.0
61,Isangel,0,VU,1589317480,62,-19.55,169.27,74.16,10.33
