,Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,0,PF,1589313192,66,-23.12,-134.97,74.14,2.64
1,Sehithwa,0,BW,1589313192,30,-20.47,22.72,64.38,4.72
2,Lata,40,PT,1589313192,89,40.16,-8.33,63.0,3.0
3,Acapulco de Juárez,20,MX,1589313193,62,16.86,-99.89,87.8,8.05
4,Sawtell,84,AU,1589313193,93,-30.38,153.1,50.0,6.93
5,Ushuaia,40,AR,1589313193,80,-54.8,-68.3,41.0,32.21
6,General Roca,0,AR,1589313194,31,-39.03,-67.58,60.8,13.87
7,Chokurdakh,69,RU,1589313194,99,70.63,147.92,31.46,7.29
8,Mizhou,0,CN,1589313195,41,35.99,119.4,54.19,7.4
9,Santa Marta,75,CO,1589313195,63,11.24,-74.2,93.2,8.05
10,Cidreira,100,BR,1589313195,97,-30.18,-50.21,66.33,6.8
11,Walvis Bay,16,NA,1589313195,77,-22.96,14.51,60.8,6.93
12,Koregaon,78,IN,1589313196,40,18.65,74.08,79.39,7.07
13,Half Moon Bay,75,US,1589312900,63,37.46,-122.43,66.99,17.22
14,Lacey,90,US,1589312992,77,47.03,-122.82,60.8,9.17
15,Bredasdorp,65,ZA,1589313196,87,-34.53,20.04,57.2,3.36
16,Kudat,75,MY,1589313197,94,6.88,116.85,77.0,2.24
17,Logan,1,US,1589313062,24,41.74,-111.83,71.6,4.7
18,George Town,40,MY,1589312978,94,5.41,100.34,78.8,10.02
19,Bengkulu,100,ID,1589313197,80,-3.8,102.27,78.17,3.29
20,Mumford,0,GH,1589313198,82,5.26,-0.76,81.3,9.86
21,Punta Arenas,75,CL,1589313198,56,-53.15,-70.92,44.6,13.87
22,Cairns,40,AU,1589313171,83,-16.92,145.77,71.6,10.29
23,Gambēla,100,ET,1589313198,69,8.25,34.58,78.73,2.73
24,Atuona,43,PF,1589313199,71,-9.8,-139.03,79.88,16.96
25,Caravelas,5,BR,1589313199,74,-17.71,-39.25,75.38,4.85
26,Saint-Philippe,90,RE,1589313199,68,-21.36,55.77,69.8,3.36
27,Cape Town,40,ZA,1589313001,82,-33.93,18.42,61.0,11.41
28,Sos'va,20,RU,1589313199,84,59.18,61.86,59.63,5.64
29,Burnie,0,AU,1589313200,84,-41.07,145.92,45.0,8.01
30,Torbay,90,CA,1589313200,100,47.67,-52.73,43.0,14.99
31,Marzuq,7,YE,1589313200,31,14.4,46.47,83.21,4.81
32,San Patricio,20,MX,1589313201,74,19.22,-104.7,86.0,6.93
33,Khalkhāl,0,IR,1589313201,69,37.62,48.53,43.52,1.74
34,Kapaa,75,US,1589313201,69,22.08,-159.32,78.8,12.75
35,Khatanga,1,RU,1589313201,95,71.97,102.5,11.95,6.93
36,Castro,86,BR,1589313201,71,-24.79,-50.01,67.66,5.64
37,Richards Bay,47,ZA,1589313202,87,-28.78,32.04,66.78,4.43
38,Hermanus,36,ZA,1589313202,90,-34.42,19.23,57.0,9.06
39,Yellowknife,75,CA,1589313202,79,62.46,-114.35,48.2,16.11
40,Yarmouth,75,US,1589313126,33,41.71,-70.23,57.2,13.87
41,Albany,80,US,1589313203,24,42.6,-73.97,53.01,1.99
42,Olafsvik,82,IS,1589313203,77,64.89,-23.71,40.15,12.5
43,Chui,26,UY,1589313203,69,-33.7,-53.46,60.51,7.23
44,Saskylakh,100,RU,1589313203,97,71.92,114.08,24.28,15.37
45,Port Alfred,100,ZA,1589313204,91,-33.59,26.89,64.99,5.01
46,Sørland,40,NO,1589313204,80,67.67,12.69,33.8,17.22
47,New Norfolk,22,AU,1589313204,77,-42.78,147.06,48.0,4.0
48,Jos,18,NG,1589313204,52,9.92,8.9,75.78,5.01
49,East London,100,ZA,1589313205,83,-33.02,27.91,68.22,7.14
50,Lakhīmpur,50,IN,1589313205,39,27.95,80.77,82.67,4.63
51,Iqaluit,90,CA,1589313205,79,63.75,-68.51,28.4,29.97
52,Butaritari,41,KI,1589313206,79,3.07,172.79,83.46,16.28
53,Hobart,0,AU,1589313123,57,-42.88,147.33,48.2,13.87
54,Esim,0,GH,1589313206,83,4.87,-2.24,80.2,6.38
55,Bluff,7,NZ,1589313206,90,-46.6,168.33,42.89,8.05
56,Saint-Augustin,100,CA,1589313206,71,51.23,-58.65,41.63,16.24
57,Tullamore,21,IE,1589313207,73,53.27,-7.49,50.0,6.11
58,Busselton,28,AU,1589313207,58,-33.65,115.33,55.0,8.03
59,Nikolskoye,20,RU,1589313207,45,59.7,30.79,44.6,13.42
60,Pinhão,100,BR,1589313208,94,-25.7,-51.66,61.29,2.37
61,Hilo,90,US,1589313208,78,19.73,-155.09,78.01,4.7
